CustomerID,CustomerName,ContactName,Address,City,PostalCode,Country
35,HILARI?N-Abastos,Carlos Hern†ndez,Carrera 22 con Ave. Carlos Soublette #8-35,San Crist¢bal,5022,Venezuela
36,Hungry Coyote Import Store,Yoshi Latimer,City Center Plaza 516 Main St.,Elgin,97827,USA
37,Hungry Owl All-Night Grocers,Patricia McKenna,8 Johnstown Road,Cork,,Ireland
38,Island Trading,Helen Bennett,Garden House Crowther Way,Cowes,PO31 7PJ,UK
39,Kîniglich Essen,Philip Cramer,Maubelstr. 90,Brandenburg,14776,Germany
40,La corne d'abondance,Daniel Tonini,"67, avenue de l'Europe",Versailles,78000,France
41,La maison d'Asie,Annette Roulet,1 rue Alsace-Lorraine,Toulouse,31000,France
42,Laughing Bacchus Wine Cellars,Yoshi Tannamuri,1900 Oak St.,Vancouver,V3F 2K1,Canada
43,Lazy K Kountry Store,John Steel,12 Orchestra Terrace,Walla Walla,99362,USA
44,Lehmanns Marktstand,Renate Messner,Magazinweg 7,Frankfurt a.M.,60528,Germany
45,Let's Stop N Shop,Jaime Yorres,87 Polk St. Suite 5,San Francisco,94117,USA
46,LILA-Supermercado,Carlos Gonz†lez,Carrera 52 con Ave. Bol°var #65-98 Llano Largo,Barquisimeto,3508,Venezuela
47,LINO-Delicateses,Felipe Izquierdo,Ave. 5 de Mayo Porlamar,I. de Margarita,4980,Venezuela
48,Lonesome Pine Restaurant,Fran Wilson,89 Chiaroscuro Rd.,Portland,97219,USA
49,Magazzini Alimentari Riuniti,Giovanni Rovelli,Via Ludovico il Moro 22,Bergamo,24100,Italy
50,Maison Dewey,Catherine Dewey,Rue Joseph-Bens 532,Bruxelles,B-1180,Belgium
51,Märe Paillarde,Jean Fresniäre,43 rue St. Laurent,MontrÇal,H1J 1C3,Canada
52,Morgenstern Gesundkost,Alexander Feuer,Heerstr. 22,Leipzig,4179,Germany
53,North/South,Simon Crowther,South House 300 Queensbridge,London,SW7 1RZ,UK
54,OcÇano Atl†ntico Ltda.,Yvonne Moncada,Ing. Gustavo Moncada 8585 Piso 20-A,Buenos Aires,1010,Argentina
55,Old World Delicatessen,Rene Phillips,2743 Bering St.,Anchorage,99508,USA
56,Ottilies KÑseladen,Henriette Pfalzheim,Mehrheimerstr. 369,Kîln,50739,Germany
57,Paris spÇcialitÇs,Marie Bertrand,"265, boulevard Charonne",Paris,75012,France
58,Pericles Comidas cl†sicas,Guillermo Fern†ndez,Calle Dr. Jorge Cash 321,MÇxico D.F.,5033,Mexico
59,Piccolo und mehr,Georg Pipps,Geislweg 14,Salzburg,5020,Austria
60,Princesa Isabel Vinhoss,Isabel de Castro,Estrada da sa£de n. 58,Lisboa,1756,Portugal
61,Que Del°cia,Bernardo Batista,"Rua da Panificadora, 12",Rio de Janeiro,02389-673,Brazil
62,Queen Cozinha,L£cia Carvalho,"Alameda dos CanÖrios, 891",S?o Paulo,05487-020,Brazil
63,QUICK-Stop,Horst Kloss,Taucherstra·e 10,Cunewalde,1307,Germany
64,Rancho grande,Sergio GutiÇrrez,Av. del Libertador 900,Buenos Aires,1010,Argentina
65,Rattlesnake Canyon Grocery,Paula Wilson,2817 Milton Dr.,Albuquerque,87110,USA
66,Reggiani Caseifici,Maurizio Moroni,Strada Provinciale 124,Reggio Emilia,42100,Italy
67,Ricardo Adocicados,Janete Limeira,"Av. Copacabana, 267",Rio de Janeiro,02389-890,Brazil
68,Richter Supermarkt,Michael Holz,Grenzacherweg 237,Genäve,1203,Switzerland
69,Romero y tomillo,Alejandra Camino,"Gran V°a, 1",Madrid,28001,Spain
70,SantÇ Gourmet,Jonas Bergulfsen,Erling Skakkes gate 78,Stavern,4110,Norway
71,Save-a-lot Markets,Jose Pavarotti,187 Suffolk Ln.,Boise,83720,USA
72,Seven Seas Imports,Hari Kumar,90 Wadhurst Rd.,London,OX15 4NB,UK
73,Simons bistro,Jytte Petersen,Vinbëltet 34,K?benhavn,1734,Denmark
74,SpÇcialitÇs du monde,Dominique Perrier,"25, rue Lauriston",Paris,75016,France
75,Split Rail Beer & Ale,Art Braunschweiger,P.O. Box 555,Lander,82520,USA
76,Supràmes dÇlices,Pascale Cartrain,"Boulevard Tirou, 255",Charleroi,B-6000,Belgium
77,The Big Cheese,Liz Nixon,89 Jefferson Way Suite 2,Portland,97201,USA
78,The Cracker Box,Liu Wong,55 Grizzly Peak Rd.,Butte,59801,USA
79,Toms SpezialitÑten,Karin Josephs,Luisenstr. 48,MÅnster,44087,Germany
80,Tortuga Restaurante,Miguel Angel Paolino,Avda. Azteca 123,MÇxico D.F.,5033,Mexico
81,Tradiá?o Hipermercados,Anabela Domingues,"Av. Inàs de Castro, 414",S?o Paulo,05634-030,Brazil
82,Trail's Head Gourmet Provisioners,Helvetius Nagy,722 DaVinci Blvd.,Kirkland,98034,USA
83,Vaffeljernet,Palle Ibsen,Smagsl?get 45,èrhus,8200,Denmark
84,Victuailles en stock,Mary Saveley,"2, rue du Commerce",Lyon,69004,France
85,Vins et alcools Chevalier,Paul Henriot,59 rue de l'Abbaye,Reims,51100,France
86,Die Wandernde Kuh,Rita MÅller,Adenauerallee 900,Stuttgart,70563,Germany
87,Wartian Herkku,Pirkko Koskitalo,Torikatu 38,Oulu,90110,Finland
88,Wellington Importadora,Paula Parente,"Rua do Mercado, 12",Resende,08737-363,Brazil
89,White Clover Markets,Karl Jablonski,305 - 14th Ave. S. Suite 3B,Seattle,98128,USA
90,Wilman Kala,Matti Karttunen,Keskuskatu 45,Helsinki,21240,Finland
91,Wolski,Zbyszek,ul. Filtrowa 68,Walla,01-012,Poland
